,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,date,tag,ma20,dif,dea,macd,macdp,macdn
619,MOAT,,76.06,,,,,,,,,,,策略3,74.45899999999997,-0.02645867585124506,-0.22725496978023418,0.20079629392898912,,
620,QTEC,,162.53,,,,,,,,,,,策略3,160.46499999999992,-1.5280783444095505,-1.7248635636651686,0.1967852192556181,,
621,AVNT,,49.27,,,,,,,,,,,策略3,47.110499999999995,0.14883189739994407,-0.1296651426033663,0.2784970400033104,,
622,SLGN,,40.48,,,,,,,,,,,策略3,39.29300000000002,-0.15024506479094413,-0.38230239620977324,0.23205733141882912,,
623,LIVN,,83.72,,,,,,,,,,,策略3,81.44300000000001,-0.18439156185158367,-0.40180837771067596,0.21741681585909228,,
624,UNVR,,25.91,,,,,,,,,,,策略3,24.30849999999999,0.5876540291213459,0.42736478893847335,0.16028924018287255,,
625,POR,,49.19,,,,,,,,,,,策略3,48.300000000000026,-0.29494936804341876,-0.43878865249906907,0.1438392844556503,,
626,SSTK,,120.54,,,,,,,,,,,策略3,117.0379999999999,1.589491582917205,1.4862845910163303,0.10320699190087468,,
627,IJS,,104.03,,,,,,,,,,,策略3,101.8419999999999,0.7201036376676058,0.5660749854966884,0.15402865217091732,,
628,SKYY,,112.28,,,,,,,,,,,策略3,108.09899999999998,0.28144001810292707,-0.1971350250479008,0.4785750431508279,,
629,SAFE,,76.09,,,,,,,,,,,策略3,74.857,-2.152963479891568,-2.8827701708285236,0.7298066909369556,,
630,LTHM,,26.34,,,,,,,,,,,策略3,24.244999999999994,0.3416137882800747,0.07717269344989947,0.26444109483017525,,
631,SAIL,,46.46,,,,,,,,,,,策略3,44.71049999999999,-0.32371487719623104,-0.6288842385086876,0.30516936131245653,,
632,AXS,,51.34,,,,,,,,,,,策略3,47.03800000000001,0.4313461293633907,-0.23159076450355912,0.6629368938669498,,
633,CIXX,,21.41,,,,,,,,,,,策略3,20.556000000000004,0.2661830615019234,0.22903055744462833,0.03715250405729506,,
634,SAFM,,188.53,,,,,,,,,,,策略3,188.34200000000004,-0.551888621757314,-0.7224749481397167,0.17058632638240268,,
635,GOOS,,38.73,,,,,,,,,,,策略3,37.260000000000005,-0.16955774117822386,-0.4509496607010986,0.28139191952287473,,
636,AUY,,4.39,,,,,,,,,,,策略3,4.049999999999995,0.012715225103201,-0.04158525743217266,0.05430048253537366,,
637,CRI,,98.76,,,,,,,,,,,策略3,96.76649999999991,-1.2787560378662164,-1.346443875928124,0.0676878380619077,,
638,DDS,,203.38,,,,,,,,,,,策略3,197.81800000000004,1.036079583064918,0.13137700944488354,0.9047025736200346,,
639,PRFT,,129.8,,,,,,,,,,,策略3,120.34849999999997,3.173930863399235,2.727026992557421,0.44690387084181404,,
640,HPP,,27.48,,,,,,,,,,,策略3,26.886999999999993,0.12907821460344238,0.08758157498832755,0.04149663961511482,,
641,NARI,,83.02,,,,,,,,,,,策略3,80.02299999999994,0.16604057728049781,-0.3059197901962135,0.47196036747671133,,
642,CNS,,86.56,,,,,,,,,,,策略3,85.39400000000002,-0.07138757960250075,-0.15203702457479795,0.0806494449722972,,
643,PFSI,,67.09,,,,,,,,,,,策略3,62.96099999999997,0.19665863851535903,-0.4368603169220121,0.6335189554373711,,
644,BTG,,3.99,,,,,,,,,,,策略3,3.5695000000000014,0.018522627864406616,-0.04649019498068417,0.06501282284509079,,
645,IOVA,,27.34,,,,,,,,,,,策略3,25.650500000000015,0.8107612560148496,0.7137845500391641,0.09697670597568553,,
646,BNL,,25.9,,,,,,,,,,,策略3,25.41700000000001,-0.14206781499060028,-0.2157775667359608,0.07370975174536051,,
647,BKH,,64.77,,,,,,,,,,,策略3,63.974999999999966,-0.9022652569437213,-1.1658939775510748,0.26362872060735354,,
648,IJJ,,107.42,,,,,,,,,,,策略3,104.83550000000011,0.2590211998848986,-0.005736939983907632,0.2647581398688062,,
649,LMND,,69.25,,,,,,,,,,,策略3,66.96650000000005,-2.322255175966376,-2.911668271824568,0.589413095858192,,
650,SPEM,,43.56,,,,,,,,,,,策略3,42.768499999999996,-0.009491129185143166,-0.14169218812285184,0.13220105893770867,,
651,LXP,,14.59,,,,,,,,,,,策略3,13.476500000000001,0.2680017574403841,0.09975272713610384,0.1682490303042803,,
652,DOC,,18.68,,,,,,,,,,,策略3,18.15300000000001,-0.003549670113855541,-0.08736889838745436,0.08381922827359882,,
653,WNS,,83.18,,,,,,,,,,,策略3,81.93299999999998,0.029134350885016147,-0.010504616523711303,0.03963896740872745,,
654,SUN,,41.45,,,,,,,,,,,策略3,38.06349999999999,0.8044312843793904,0.44029490643053537,0.364136377948855,,
655,FXL,,128.56,,,,,,,,,,,策略3,125.28749999999998,-0.20208167783799524,-0.5381340593334948,0.33605238149549954,,
656,MGNI,,30.81,,,,,,,,,,,策略3,29.102499999999992,-0.17136448607532984,-0.3168909595936563,0.14552647351832648,,
657,WD,,127.44,,,,,,,,,,,策略3,115.75049999999999,4.41814015095845,3.3736277367598015,1.0445124141986488,,
658,EDU,,2.38,,,,,,,,,,,策略3,2.012499999999945,-0.011672975655113493,-0.09484458488069963,0.08317160922558614,,
659,CNMD,,138.69,,,,,,,,,,,策略3,132.752,2.1236561261543443,1.4937334219742089,0.6299227041801354,,
660,LOPE,,89.73,,,,,,,,,,,策略3,86.87499999999997,-0.08246770326940123,-0.34189758346046173,0.2594298801910605,,
661,RPG,,196.75,,,,,,,,,,,策略3,195.6669999999999,-1.5737682280053207,-1.5923258043124118,0.018557576307091095,,
662,NEU,,367.84,,,,,,,,,,,策略3,344.22150000000045,6.780888139630008,4.4746790425621406,2.3062090970678675,,
663,EPR,,53.31,,,,,,,,,,,策略3,51.284000000000034,0.7260453386178298,0.5220591236156736,0.2039862150021562,,
664,PSTH,,19.73,,,,,,,,,,,策略3,19.708499999999972,-0.04355567124795101,-0.0629043673549359,0.01934869610698489,,
665,JBGS,,30.3,,,,,,,,,,,策略3,29.971500000000013,-0.04179938047020926,-0.07166516384064432,0.029865783370435064,,
666,ARKK,,115.9,,,,,,,,,,,策略3,113.54799999999993,-1.6942810097418146,-2.235632346044536,0.5413513363027214,,
667,LESL,,21.11,,,,,,,,,,,策略3,20.95549999999999,-0.6800611444371754,-0.8005141964004083,0.12045305196323297,,
668,BOX,,26.37,,,,,,,,,,,策略3,24.683,0.41213840957043146,0.20076564012494247,0.211372769445489,,
669,WTFCM,,27.72,,,,,,,,,,,策略3,27.64900000000002,-0.24891228902721707,-0.27411449966273044,0.025202210635513367,,
670,CEF,,17.82,,,,,,,,,,,策略3,17.378499999999995,0.014794428895516631,-0.06319146983566808,0.07798589873118471,,
671,ENLC,,8.13,,,,,,,,,,,策略3,7.018499999999993,0.4712169826928223,0.38543312300013494,0.08578385969268737,,
672,XT,,63.45,,,,,,,,,,,策略3,63.35100000000001,-0.6329187561068039,-0.6454836136216495,0.012564857514845595,,
673,FUBO,,27.61,,,,,,,,,,,策略3,25.3495,-0.2888856020423347,-0.6984451630393165,0.40955956099698176,,
674,ARNA,,64.23,,,,,,,,,,,策略3,60.44849999999995,1.194430713556379,0.9523270095793871,0.24210370397699188,,
675,MTH,,103.94,,,,,,,,,,,策略3,102.6475,-1.6291106669241486,-1.661165128368725,0.032054461444576354,,
676,SUM,,33.23,,,,,,,,,,,策略3,32.00449999999999,0.025434059361444383,-0.12632242707987912,0.1517564864413235,,
677,IJT,,133.28,,,,,,,,,,,策略3,131.81050000000005,-0.24602889867588829,-0.32710296459950655,0.08107406592361827,,
678,TRTN,,54.48,,,,,,,,,,,策略3,52.47850000000002,0.3633188847385256,0.17519391716333643,0.18812496757518915,,
679,TRUP,,94.6,,,,,,,,,,,策略3,83.8055,-0.38610108868651594,-2.1601343959726016,1.7740333072860857,,
680,SHOO,,43.09,,,,,,,,,,,策略3,40.91549999999999,0.46539703297005985,0.2550342800372313,0.21036275293282858,,
681,FV,,47.38,,,,,,,,,,,策略3,46.5945,-0.19566734180390455,-0.2878223321629787,0.09215499035907415,,
682,CLOV,,8.18,,,,,,,,,,,策略3,7.781499999999992,-0.12126503463210891,-0.22113419409683796,0.09986915946472905,,
683,ROG,,189.24,,,,,,,,,,,策略3,186.8765,-2.845831037659167,-3.1709726873671933,0.3251416497080264,,
684,RAMP,,52.08,,,,,,,,,,,策略3,48.15799999999995,0.7783033940680966,0.387121031434915,0.39118236263318157,,
685,VAW,,182.86,,,,,,,,,,,策略3,177.15250000000006,-0.6555693140849996,-1.4711500329345424,0.8155807188495428,,
686,MDC,,48.65,,,,,,,,,,,策略3,48.58599999999999,-0.7649749768905139,-0.91184053356142,0.14686555667090617,,
687,KW,,22.52,,,,,,,,,,,策略3,21.600000000000005,0.23200429369738984,0.13229979063436503,0.09970450306302481,,
688,PTLC,,38.84,,,,,,,,,,,策略3,38.4745,-0.15561767716037878,-0.19470249883082105,0.03908482167044228,,
689,PJT,,83.85,,,,,,,,,,,策略3,78.72499999999994,1.2813162020268578,0.6689633304906069,0.612352871536251,,
690,INST,,24.7,,,,,,,,,,,策略3,22.523000000000007,0.7756724854843569,0.5717405087826618,0.20393197670169505,,
691,WTM,,1106.1,,,,,,,,,,,策略3,1079.9455000000005,-2.8888506687992503,-7.278728280600203,4.389877611800952,,
692,SR,,65.78,,,,,,,,,,,策略3,62.63099999999999,-0.25091428849095365,-0.948261228701511,0.6973469402105573,,
693,FUL,,66.31,,,,,,,,,,,策略3,63.95349999999995,0.045951735618359635,-0.12431369523362168,0.17026543085198131,,
694,SSRM,,16.16,,,,,,,,,,,策略3,15.068999999999997,-0.08868937027544632,-0.26642571113710867,0.17773634086166235,,
695,WBT,,23.66,,,,,,,,,,,策略3,23.542999999999985,0.04656206128504081,0.03941243517035406,0.007149626114686752,,
696,TMHC,,27.52,,,,,,,,,,,策略3,26.53150000000003,-0.06366317137432276,-0.16280436912483248,0.09914119775050972,,
697,DBRG,,6.88,,,,,,,,,,,策略3,6.418499999999999,-0.04265636766201819,-0.12989264929543648,0.08723628163341829,,
698,HI,,46.3,,,,,,,,,,,策略3,42.689000000000014,0.3167299450229635,-0.22684378195078486,0.5435737269737484,,
699,HEFA,,34.91,,,,,,,,,,,策略3,34.747000000000035,-0.1274342309900831,-0.1281137971082745,0.0006795661181913937,,
700,AWR,,90.17,,,,,,,,,,,策略3,87.66600000000003,-0.017190575192728375,-0.4109144266305965,0.39372385143786814,,
701,EQC,,26.93,,,,,,,,,,,策略3,26.080999999999996,0.12973045703649078,0.004664265466130777,0.12506619157036,,
702,WDFC,,234.73,,,,,,,,,,,策略3,230.0310000000001,-0.32362039200785375,-0.8067490097484358,0.483128617740582,,
703,FHI,,32.64,,,,,,,,,,,策略3,31.733999999999998,0.11191951443792902,0.006258482596356411,0.1056610318415726,,
704,DORM,,99.8,,,,,,,,,,,策略3,96.77250000000002,0.7723972473829832,0.4153014322792943,0.35709581510368893,,
705,AG,,12.46,,,,,,,,,,,策略3,11.979999999999986,-0.22688616682529705,-0.3012801617494188,0.07439399492412174,,
706,SLYV,,84.78,,,,,,,,,,,策略3,82.68050000000001,0.6671924037351857,0.4859124563883788,0.1812799473468069,,
707,BBAX,,56.15,,,,,,,,,,,策略3,55.02000000000002,-0.3349236621895457,-0.5914036634764044,0.25648000128685866,,
708,EXG,,10.41,,,,,,,,,,,策略3,10.364,-0.07881179337213418,-0.08668465993779176,0.007872866565657582,,
709,AGI,,8.15,,,,,,,,,,,策略3,7.4140000000000015,0.04337206801322324,-0.062250711735614826,0.10562277974883807,,
710,BSTZ,,40.25,,,,,,,,,,,策略3,39.8655,-0.30849397391049393,-0.36239459551942427,0.05390062160893033,,
711,CWT,,60.65,,,,,,,,,,,策略3,59.742999999999995,-0.42174140715313513,-0.6664736536574815,0.24473224650434633,,
712,LYEL,,13.44,,,,,,,,,,,策略3,12.552499999999993,-0.3864933434909368,-0.5390032737625373,0.15250993027160054,,
713,AHCO,,24.62,,,,,,,,,,,策略3,23.544499999999964,-0.059672331791482236,-0.15625806775011442,0.09658573595863218,,
714,ITCI,,39.49,,,,,,,,,,,策略3,37.187999999999974,1.1074561682919608,1.0780088030140034,0.029447365277957438,,
715,VRNT,,46.82,,,,,,,,,,,策略3,45.294999999999995,0.5947319186126592,0.47031426174468394,0.12441765686797523,,
716,TRQ,,15.4,,,,,,,,,,,策略3,14.667000000000012,0.027653720360667933,-0.07439979666292677,0.1020535170235947,,
717,OGCP,,10.79,,,,,,,,,,,策略3,10.12050000000001,-0.05577579897354745,-0.1765079117355425,0.12073211276199505,,
718,RLAY,,35.57,,,,,,,,,,,策略3,32.83800000000003,-0.7930139310001536,-0.9217314474553737,0.12871751645522012,,
719,ABM,,45.99,,,,,,,,,,,策略3,45.59749999999998,-0.23887700508070253,-0.28434432352773065,0.045467318447028116,,
720,ACVA,,20.09,,,,,,,,,,,策略3,18.589500000000008,-0.1929377331530837,-0.5125470431416375,0.31960930998855375,,
721,TAC,,11.31,,,,,,,,,,,策略3,10.536500000000006,0.2943613809275494,0.21851548837263626,0.07584589255491311,,
722,NGVT,,78.63,,,,,,,,,,,策略3,73.49499999999998,0.03403889937364113,-0.7459030688509116,0.7799419682245528,,
723,IOO,,73.14,,,,,,,,,,,策略3,72.62100000000004,-0.3094981271330113,-0.3638212482488369,0.0543231211158256,,
724,AEL,,32.2,,,,,,,,,,,策略3,29.77600000000002,0.25377869617665283,-0.1579447569876813,0.4117234531643341,,
725,PBH,,58.59,,,,,,,,,,,策略3,55.29899999999998,0.69802655466723,0.2516345519717411,0.44639200269548884,,
726,RODM,,30.58,,,,,,,,,,,策略3,30.44199999999999,-0.24572228019076903,-0.28850813665840014,0.04278585646763111,,
727,THRM,,88.03,,,,,,,,,,,策略3,83.38300000000002,1.3795131756513683,0.8585654861720006,0.5209476894793678,,
728,FIX,,80.61,,,,,,,,,,,策略3,73.81550000000001,1.547279903156479,0.6357680711585109,0.9115118319979681,,
729,EAF,,10.8,,,,,,,,,,,策略3,10.532500000000008,-0.07485098754825792,-0.11189074483544938,0.03703975728719146,,
730,DOMO,,89.67,,,,,,,,,,,策略3,82.72750000000003,0.6873088236818035,-0.27048597388494783,0.9577947975667513,,
731,MRCY,,50.64,,,,,,,,,,,策略3,47.60999999999997,-0.03286655468433963,-0.6083065623885517,0.5754400077042121,,
732,LAW,,49.34,,,,,,,,,,,策略3,48.423000000000066,-1.2686239809743114,-1.3667279497722968,0.09810396879798544,,
733,YELP,,39.58,,,,,,,,,,,策略3,38.30200000000001,0.3153456142101163,0.3055464276923067,0.009799186517809588,,
734,CSQ,,18.05,,,,,,,,,,,策略3,18.044999999999998,-0.1525797764817689,-0.1673387171491039,0.014758940667334991,,
735,IFS,,24.72,,,,,,,,,,,策略3,22.849500000000024,0.6708807955135008,0.5033108888119885,0.16756990670151228,,
736,PIPR,,158.26,,,,,,,,,,,策略3,145.51400000000007,4.786319196186639,3.5246029719355194,1.2617162242511197,,
737,KTOS,,22.91,,,,,,,,,,,策略3,22.48050000000002,-0.2697690424449526,-0.36168293595331746,0.09191389350836487,,
738,CNNE,,31.52,,,,,,,,,,,策略3,31.221999999999962,-0.22782555401515836,-0.250281264335976,0.022455710320817612,,
739,AVA,,40.86,,,,,,,,,,,策略3,39.691999999999965,-0.36610737841958496,-0.5109097541315866,0.1448023757120016,,
740,OMAB,,50.02,,,,,,,,,,,策略3,48.020500000000006,0.2976046241482706,-0.003720601356689862,0.30132522550496044,,
741,ADV,,8.75,,,,,,,,,,,策略3,8.589499999999997,-0.05238285557602396,-0.09603841503877435,0.04365555946275039,,
742,BIPC,,59.77,,,,,,,,,,,策略3,58.96349999999994,-0.8417890737845184,-1.11170972903447,0.26992065524995157,,
743,RWR,,111.65,,,,,,,,,,,策略3,108.02100000000003,-0.015525398064880847,-0.5392201035229442,0.5236947054580634,,
744,CENT,,49.57,,,,,,,,,,,策略3,48.112500000000004,0.6373852119480432,0.4951398012733478,0.14224541067469543,,
745,USM,,31.76,,,,,,,,,,,策略3,31.323499999999978,-0.10494286133779696,-0.16309968015424708,0.05815681881645013,,
746,BDC,,61.15,,,,,,,,,,,策略3,59.06749999999998,1.076243331412286,1.0271155955925946,0.04912773581969132,,
747,HTH,,33.77,,,,,,,,,,,策略3,33.03049999999998,0.203920150528063,0.13547419859013937,0.06844595193792363,,
748,MGEE,,75.44,,,,,,,,,,,策略3,75.07900000000001,-0.9443401705602099,-1.1018425855448768,0.15750241498466688,,
749,AGIO,,47.23,,,,,,,,,,,策略3,45.9945,-0.20359389808616157,-0.2905280466706096,0.08693414858444803,,
750,EGHT,,24.37,,,,,,,,,,,策略3,23.851500000000005,-0.2323803762648744,-0.3016127686411426,0.06923239237626821,,
751,BCRX,,15.4,,,,,,,,,,,策略3,14.690999999999994,-0.176574592588997,-0.3113760365812138,0.13480144399221683,,
752,CVET,,20.1,,,,,,,,,,,策略3,19.048999999999985,-0.4939858501811898,-0.7674606436045047,0.27347479342331493,,
753,RUSHB,,49.14,,,,,,,,,,,策略3,46.302499999999974,1.3681885398625298,1.193620501804639,0.17456803805789067,,
754,RUSHA,,48.6,,,,,,,,,,,策略3,45.82249999999999,1.0900741368422473,0.8224841392122497,0.2675899976299976,,
755,PRFZ,,188.74,,,,,,,,,,,策略3,184.72549999999993,0.9517457757784484,0.647497920569779,0.3042478552086695,,
756,IWY,,157.1,,,,,,,,,,,策略3,155.62050000000005,-1.0734570616396866,-1.2720702904812886,0.19861322884160204,,
757,FXO,,46.52,,,,,,,,,,,策略3,45.02149999999999,0.3909306103468424,0.23577989571695185,0.15515071462989055,,
758,DOOR,,111.7,,,,,,,,,,,策略3,109.18550000000012,-0.9571608267485914,-1.4276833736188768,0.4705225468702854,,
759,SPXC,,59.5,,,,,,,,,,,策略3,56.25800000000002,-0.07845185915278563,-0.6998744673770045,0.6214226082242189,,
760,BRC,,51.02,,,,,,,,,,,策略3,50.65999999999998,-0.17983323404148877,-0.253208313292159,0.07337507925067022,,
761,AGTI,,20.3,,,,,,,,,,,策略3,20.044999999999995,-0.10570171257477412,-0.18932496908358556,0.08362325650881144,,
762,TPH,,23.54,,,,,,,,,,,策略3,22.163500000000013,0.08242785867385649,-0.13629072125464137,0.21871857992849786,,
763,AIN,,81.81,,,,,,,,,,,策略3,79.10949999999991,0.7272299035147824,0.4389353477744128,0.28829455574036966,,
764,SLYG,,89.24,,,,,,,,,,,策略3,88.22949999999999,-0.12103851064354387,-0.18095254314088766,0.05991403249734378,,
765,JOE,,44.46,,,,,,,,,,,策略3,43.231500000000004,0.05817393947381788,-0.14600799114072402,0.2041819306145419,,
766,PLXS,,94.17,,,,,,,,,,,策略3,91.0635,0.8065412970792067,0.6531848689091417,0.153356428170065,,
767,UTF,,27.82,,,,,,,,,,,策略3,27.541999999999984,-0.1793196155547605,-0.25834173451240583,0.07902211895764533,,
768,XMTR,,59.72,,,,,,,,,,,策略3,57.468999999999994,-2.4809964235011535,-3.344275843300017,0.8632794197988636,,
769,SFM,,22.77,,,,,,,,,,,策略3,22.58400000000001,-0.2837783238045688,-0.37148426638915644,0.08770594258458764,,
770,EWU,,33.48,,,,,,,,,,,策略3,32.639000000000024,0.02390034656045259,-0.09403833403254751,0.1179386805930001,,
771,OPK,,3.8,,,,,,,,,,,策略3,3.727499999999998,0.003375404928654735,-0.009055522452831914,0.01243092738148665,,
772,ARRY,,19.99,,,,,,,,,,,策略3,18.21,0.4188609770191114,0.17059634881343838,0.24826462820567302,,
773,MOG.A,,80.53,,,,,,,,,,,策略3,77.83950000000003,0.6227144366004893,0.36770980033612993,0.2550046362643594,,
774,NHI,,56.02,,,,,,,,,,,策略3,55.32449999999998,-1.5617822112593132,-1.8372721666850436,0.2754899554257304,,
775,SJI,,22.67,,,,,,,,,,,策略3,22.279999999999994,-0.3312209200475813,-0.5017384612295297,0.1705175411819484,,
776,MLPX,,39.18,,,,,,,,,,,策略3,36.14599999999999,0.9857196616355992,0.6943312199178138,0.29138844171778544,,
777,IJK,,81.96,,,,,,,,,,,策略3,80.96299999999994,-0.2747587530999027,-0.3002465575115159,0.02548780441161319,,
778,VONV,,70.87,,,,,,,,,,,策略3,69.907,-0.07015487866553372,-0.18753691443481507,0.11738203576928136,,
779,ROCK,,74.87,,,,,,,,,,,策略3,69.77400000000003,0.8840328721631181,0.09116753688069976,0.7928653352824183,,
780,NUV,,11.68,,,,,,,,,,,策略3,11.529999999999992,0.010372298398030111,-0.014393227029989259,0.02476552542801937,,
781,OMI,,32.65,,,,,,,,,,,策略3,32.231999999999985,-1.107372518168468,-1.4039997497267531,0.2966272315582852,,
782,PDBC,,22.36,,,,,,,,,,,策略3,21.279500000000006,0.518296304842579,0.4440242670844508,0.07427203775812824,,
783,OTTR,,58.61,,,,,,,,,,,策略3,56.738,0.8138280124899708,0.7833488450246318,0.030479167465339074,,
784,BDN,,14.13,,,,,,,,,,,策略3,13.607000000000003,0.07579603939177382,0.00855120720330548,0.06724483218846834,,
785,DNUT,,14.38,,,,,,,,,,,策略3,14.247499999999999,-0.35021887097764015,-0.4433398819099573,0.09312101093231717,,
786,SPHQ,,49.79,,,,,,,,,,,策略3,49.3395,-0.17587064511702977,-0.24046538033067924,0.06459473521364947,,
787,AAT,,39.78,,,,,,,,,,,策略3,38.420999999999985,0.17025650231929035,-0.0047017089044672986,0.17495821122375765,,
788,MTX,,71.8,,,,,,,,,,,策略3,70.85400000000001,-0.8533376299855888,-1.1141568661061423,0.26081923612055347,,
789,RLGY,,20.67,,,,,,,,,,,策略3,18.2775,0.5787778686870837,0.3207357286327964,0.2580421400542873,,
790,GDV,,26.32,,,,,,,,,,,策略3,26.102000000000004,-0.09019591267361449,-0.12520439168251654,0.035008479008902055,,
791,VSTO,,42.52,,,,,,,,,,,策略3,41.17399999999999,0.10568937826788272,-0.004847529093987748,0.11053690736187047,,
792,ZUO,,19.37,,,,,,,,,,,策略3,17.11050000000001,0.35833525753483286,0.0888775444295655,0.26945771310526734,,
793,JELD,,26.09,,,,,,,,,,,策略3,25.497500000000006,-0.35045301636753834,-0.4530698279901363,0.10261681162259795,,
794,ODP,,44.52,,,,,,,,,,,策略3,42.301,-0.07813434313725764,-0.44676088488973986,0.3686265417524822,,
795,PACK,,29.2,,,,,,,,,,,策略3,28.493499999999976,-0.10290247769389183,-0.16860884674357632,0.0657063690496845,,
796,EWG,,33.32,,,,,,,,,,,策略3,33.180999999999976,-0.4229629709111862,-0.47275133889770726,0.04978836798652109,,
797,CGAU,,7.8,,,,,,,,,,,策略3,7.256,0.10680519311282666,0.022241571018152533,0.08456362209467412,,
798,VCEL,,50.7,,,,,,,,,,,策略3,49.672,-0.41401522508180477,-0.5412046856542729,0.12718946057246816,,
799,USSG,,41.25,,,,,,,,,,,策略3,40.56400000000001,-0.11005872621888102,-0.19400688599427066,0.08394815977538964,,
800,OI,,14.85,,,,,,,,,,,策略3,14.492999999999986,-0.045533485313640654,-0.08087420177448143,0.035340716460840776,,
801,BCC,,59.37,,,,,,,,,,,策略3,55.40450000000004,0.7062433814606095,0.2766093830003602,0.4296339984602493,,
802,ALKT,,26.76,,,,,,,,,,,策略3,25.47600000000001,-0.6024812246367404,-0.8725306159779185,0.2700493913411781,,
803,CRTO,,37.42,,,,,,,,,,,策略3,35.96050000000002,0.15520519764593388,-0.07659197802493113,0.231797175670865,,
804,FWRD,,84.97,,,,,,,,,,,策略3,84.7865,-0.5285060363098921,-0.5782967319408916,0.04979069563099947,,
805,MYTE,,27.38,,,,,,,,,,,策略3,27.333500000000022,-0.6515430214714293,-0.6919369874539807,0.040393965982551405,,
806,XNCR,,39.27,,,,,,,,,,,策略3,35.297499999999985,1.355640765311847,0.8941142004407023,0.46152656487114463,,
807,MDYG,,78.27,,,,,,,,,,,策略3,76.85849999999996,-0.2709182717041614,-0.43458948749939424,0.16367121579523286,,
808,GTN,,23.75,,,,,,,,,,,策略3,23.05,0.39409747970358566,0.3771826299144737,0.016914849789111952,,
809,XSLV,,48.67,,,,,,,,,,,策略3,47.73349999999998,0.18506765420821125,0.09782358339275779,0.08724407081545346,,
810,IRBT,,81.27,,,,,,,,,,,策略3,80.56000000000012,-0.5532125953482421,-0.7834676760078845,0.2302550806596424,,
811,IRT,,21.55,,,,,,,,,,,策略3,20.7785,0.24651709045974357,0.20534590870281247,0.0411711817569311,,
812,ADX,,20.24,,,,,,,,,,,策略3,20.043499999999977,-0.08025433897156375,-0.10973965347272904,0.02948531450116529,,
813,PAGP,,11.52,,,,,,,,,,,策略3,10.765,0.2773896866065382,0.2099642315053098,0.06742545510122838,,
814,THS,,40.19,,,,,,,,,,,策略3,39.477999999999966,0.19656890293290985,0.1643056859437459,0.032263216989163956,,
815,GNW,,4.43,,,,,,,,,,,策略3,3.8665000000000007,0.1886114263859131,0.13017079135631238,0.05844063502960073,,
816,AVAV,,90.42,,,,,,,,,,,策略3,86.42300000000002,-1.4228872624759106,-2.388650858522862,0.9657635960469513,,
817,ASTR,,8.83,,,,,,,,,,,策略3,8.539999999999997,-0.379319900895533,-0.4757690213764383,0.09644912048090526,,
818,WRE,,26.03,,,,,,,,,,,策略3,25.363000000000007,0.20262289408043088,0.1743863116678021,0.028236582412628775,,
819,HACK,,64.84,,,,,,,,,,,策略3,62.57350000000001,-0.013578466923938493,-0.3025304402472367,0.2889519733232982,,
820,SPYD,,40.57,,,,,,,,,,,策略3,39.651000000000025,0.11470084410971282,0.027104378706650528,0.08759646540306229,,
821,FCPT,,28.53,,,,,,,,,,,策略3,27.4795,0.11462371240143199,-0.04544863508258297,0.16007234748401494,,
822,TEO,,5.17,,,,,,,,,,,策略3,4.995499999999998,-0.03306362215315861,-0.05821936010443331,0.025155737951274695,,
823,B,,43.44,,,,,,,,,,,策略3,43.02300000000001,-0.6381330550413935,-0.8453682836411086,0.2072352285997151,,
824,ETY,,14.29,,,,,,,,,,,策略3,14.124500000000001,-0.054052064626288754,-0.08556142721810778,0.03150936259181902,,
825,PING,,26.98,,,,,,,,,,,策略3,25.505000000000017,0.20882227880840531,0.07214932590691825,0.13667295290148707,,
826,SLQT,,13.57,,,,,,,,,,,策略3,13.148000000000028,-0.14195771222146725,-0.2244847575079001,0.08252704528643284,,
827,GO,,23.98,,,,,,,,,,,策略3,22.211499999999994,-0.7249173055021849,-1.117414805457273,0.3924974999550881,,
828,ARI,,15.5,,,,,,,,,,,策略3,15.1715,0.027669221694452517,-0.012358437345261895,0.04002765903971441,,
829,ESE,,83.58,,,,,,,,,,,策略3,78.49200000000005,-0.591594315372376,-1.639920345220394,1.0483260298480181,,
830,ATI,,17.16,,,,,,,,,,,策略3,16.838999999999995,-0.23499047793124817,-0.3139504365873511,0.07895995865610295,,
831,SPSM,,43.81,,,,,,,,,,,策略3,43.064499999999974,0.14901232306226575,0.09750006272535636,0.05151226033690939,,
832,WIRE,,106.51,,,,,,,,,,,策略3,97.14600000000006,4.586570127404542,4.02257039055329,0.5639997368512519,,
833,CMPR,,87.46,,,,,,,,,,,策略3,86.5770000000001,-1.2223395156875227,-1.3882786738823392,0.16593915819481642,,
834,TBLA,,9.52,,,,,,,,,,,策略3,8.699500000000004,0.09026446256800291,-0.03469734822101937,0.12496181078902228,,
835,CEM,,30.67,,,,,,,,,,,策略3,27.888000000000027,0.9035612003031552,0.60752721093708,0.2960339893660753,,
836,BFLY,,11.28,,,,,,,,,,,策略3,11.082000000000004,-0.24873739566224273,-0.27629883495390384,0.027561439291661105,,
837,TR,,31.59,,,,,,,,,,,策略3,30.90349999999998,-0.013498207105371307,-0.1684340328826077,0.15493582577723639,,
838,MAXR,,30.24,,,,,,,,,,,策略3,28.885999999999996,-0.41313287514601527,-0.6345142356895243,0.221381360543509,,
839,HEP,,20.18,,,,,,,,,,,策略3,18.901999999999994,0.3236231247600223,0.16323877784722568,0.16038434691279663,,
