,symbol,open_alias,close,high,low,change,chg,volume,mktcap
0,aapl,142.2700,142.8100,144.8100,141.8100,-0.06,-0.0900,64452203,2360673006460
1,msft,292.9200,294.2300,297.9700,292.7450,-0.21,-0.6200,19298599,2211106451899
2,googl,2785.8400,2778.2800,2814.2400,2777.1800,-0.62,-17.4300,897630,1852431814685
3,goog,2796.0000,2776.9500,2815.2725,2776.1300,-0.86,-24.1700,828829,1851545030662
4,amzn,3275.0000,3246.3000,3292.5899,3238.1000,-1.29,-42.3200,2034011,1644057860076
5,fb,327.6250,325.4500,330.4600,325.3100,-1.39,-4.6000,14707849,917588212850
6,tsla,787.6500,791.9400,801.2400,785.5000,0.82,6.4500,14200221,793339621696
7,tsm,110.0800,110.2600,111.7100,109.9000,0.20,0.2200,5318412,571816749793
8,nvda,205.7500,206.9500,210.6300,205.1100,-0.65,-1.3600,16338754,517375000000
9,jpm,170.8000,166.6400,171.2900,166.4600,-2.10,-3.5800,12154737,497946208357
10,v,230.0100,225.1100,230.3150,224.8700,-2.24,-5.1600,5620197,478767790177
11,baba,169.6100,163.9500,169.8000,163.9500,1.50,2.4300,42193238,444454293081
12,vxus,63.7500,63.4000,63.9366,63.3900,-0.30,-0.1900,2464428,429874085263
13,jnj,160.8600,160.2500,161.8550,159.9400,-0.42,-0.6800,4101398,421855255243
14,wmt,139.5200,139.5300,140.7800,139.4400,-0.09,-0.1300,4349071,389079100266
15,unh,408.0000,404.9900,411.2150,404.2100,-0.85,-3.4700,2162405,381872104056
16,bac,44.6000,43.7800,44.8050,43.7500,-1.26,-0.5600,36283507,368404491910
17,hd,335.6000,336.9700,340.8550,334.6000,0.79,2.6300,2588893,355624219791
18,pg,142.3700,142.3200,142.7700,141.7700,0.42,0.5900,5994329,345597886012
19,ma,353.9500,347.1500,354.8800,346.9000,-2.20,-7.8100,2769750,342558955830
20,dis,176.0200,173.5200,176.5200,173.4800,-1.82,-3.2200,8045826,315307806937
21,pypl,257.9300,255.0500,260.6600,254.6900,-1.93,-5.0100,5031308,299691950112
22,asml,722.7800,721.8900,735.8300,721.3600,-1.15,-8.3800,702272,298378209690
23,nflx,633.1950,627.0400,639.4200,626.7800,-0.89,-5.6200,2862044,277525326238
24,adbe,574.5000,573.0700,582.2800,571.4950,-0.66,-3.7900,1410257,272666706000
25,crm,271.7800,273.7500,276.2700,271.5100,0.47,1.2700,2693021,268001250000
26,xom,63.0300,61.5600,63.0600,61.5000,-1.00,-0.6200,22121487,260618133170
27,orcl,94.2900,95.2900,96.8000,94.2000,0.95,0.9000,12959152,260492943037
28,tm,175.3800,175.1500,176.8500,174.8700,1.85,3.1800,208878,244662557815
29,cmcsa,53.9335,52.2200,54.1000,52.1700,-4.53,-2.4800,31934749,239676078098
30,nke,151.9900,150.2800,153.5900,150.0550,-1.44,-2.2000,5551181,237865846961
31,pfe,42.4500,42.0600,42.6200,42.0100,-0.92,-0.3900,11984153,235817312253
32,ko,54.2100,54.2300,54.3900,54.0100,0.20,0.1100,12378432,234090232263
33,csco,55.2500,54.9300,55.3801,54.9000,-0.27,-0.1500,8117508,231680233975
34,tmo,581.2000,578.6600,586.7400,578.4600,-0.90,-5.2600,675865,227655780095
35,nvo,98.3100,98.4000,98.6900,98.1000,0.02,0.0200,421814,225243392020
36,lly,236.7000,233.6700,237.9900,233.6000,-0.12,-0.2700,1868502,223524257267
37,intc,53.8100,53.4400,54.4100,53.4200,-0.69,-0.3700,14398753,216806080000
38,vz,53.2600,52.1800,53.2900,51.9800,-1.99,-1.0600,32088342,216031253245
39,pep,156.3900,156.2400,157.2300,155.6600,0.13,0.2100,2737597,216025695814
40,dhr,299.3000,298.7400,302.4800,297.5500,-0.34,-1.0300,1121437,213270356048
41,abt,118.1500,116.8800,118.9400,116.8450,-1.28,-1.5100,3872618,207206891984
42,cvx,109.5600,107.1300,109.6300,106.9231,-0.85,-0.9200,9794791,207179986560
43,acn,324.7300,326.5000,328.7300,324.5100,0.40,1.3100,1475823,206674500000
44,avgo,491.2400,492.3400,499.5900,490.8500,-0.10,-0.5100,1118384,202655163233
45,mrk,81.6350,79.9300,81.6350,79.8700,-0.87,-0.7000,11279648,202332779451
46,cost,450.0400,449.7000,453.6900,449.5400,-0.48,-2.1500,1011565,198688167806
47,abbv,111.1400,110.3400,111.4000,110.2800,-0.76,-0.8400,4613746,194990148200
48,wfc,48.2000,47.2800,48.4600,47.2200,-1.50,-0.7200,15387863,194151089054
49,azn,61.0400,60.8000,61.3400,60.7900,0.00,0.0000,3753283,188374924710
50,t,26.6900,26.0300,26.7700,26.0300,-2.76,-0.7400,64547524,185854197761
51,nvs,82.8700,82.3400,83.0300,82.3200,-0.59,-0.4900,999628,184173092306
52,mcd,248.1000,246.5800,249.1400,246.4500,-0.45,-1.1200,1501564,184145667090
53,txn,194.8900,193.3700,196.2300,193.3100,-0.96,-1.8700,2280174,178521112092
54,ms,100.0800,97.2900,100.6800,97.2100,-2.75,-2.7500,7003878,177511546500
55,se,320.0000,316.0700,326.2500,315.5800,-2.23,-7.2100,1304325,174519554993
56,shop,1369.0000,1357.0100,1385.4900,1353.0000,-1.53,-21.0200,620841,169339544998
57,mdt,124.8300,123.5400,125.5200,123.4800,-1.38,-1.7300,3588483,166261364311
58,tbb,26.1800,26.3010,26.3200,26.1600,0.42,0.1110,21383,161482358777
59,vug,293.2100,292.2500,295.8573,292.1700,-0.70,-2.0500,699873,160764568779
60,sap,135.2600,135.1200,135.8100,134.9300,-0.24,-0.3200,669557,159384760420
61,ups,184.3000,181.7400,184.3200,181.5334,-0.95,-1.7500,1780177,158303219423
62,vo,241.3400,240.0600,243.0600,240.0600,-0.57,-1.3700,331814,157658953687
63,nee,79.2000,77.8300,79.3600,77.7350,-2.97,-2.3800,8798686,152683547076
64,lin,295.5600,294.8400,298.1800,294.7000,-0.46,-1.3500,748736,152258713588
65,hon,217.3800,215.2900,218.2200,215.2600,-1.11,-2.4100,1328386,148636057977
66,pm,95.3000,95.1200,95.7000,94.8500,-0.24,-0.2300,2721128,148248419159
67,ry,103.3300,102.7300,103.7400,102.6500,-0.26,-0.2700,331419,146361483237
68,tmus,120.9800,117.1900,121.6000,116.9600,-3.32,-4.0300,9884087,146249173040
69,c,72.7000,71.6800,73.7250,71.6100,-0.93,-0.6700,14985460,145279961989
70,schw,77.7900,76.6100,78.9450,76.5500,-0.94,-0.7300,4229275,144639877347
71,low,208.1100,208.8500,211.7400,207.8400,1.30,2.6900,3258713,144614567306
72,intu,528.7500,525.4100,533.4600,525.0400,-1.08,-5.7100,1016550,143485230415
73,bhp,56.6000,55.8400,56.9700,55.8250,1.42,0.7800,3829519,141315403013
74,qcom,126.0550,124.9400,127.2300,124.8800,-1.27,-1.6100,6288235,140932320000
75,unp,216.8600,214.9100,218.0700,214.8700,-0.73,-1.5700,2311829,140147739960
76,axp,175.7900,173.4600,176.7900,173.3300,-0.96,-1.6900,2499211,137802361362
77,rtx,90.7150,89.8900,91.3800,89.8400,-0.81,-0.7300,3047803,135543161959
78,ul,52.6700,52.5000,52.8499,52.5000,-0.27,-0.1400,1453195,135516151785
79,sony,108.9000,109.1500,111.0000,108.9000,1.54,1.6600,767341,135351768904
80,bbl,54.0700,53.3300,54.4400,53.3200,1.54,0.8100,1936396,134869522021
81,hdb,73.6700,72.6000,73.7000,72.3900,-0.14,-0.1000,2740558,134006335979
82,tte,50.9800,50.6000,51.3200,50.5900,0.96,0.4800,2157647,133596937003
83,el,311.9400,309.9600,314.7150,309.4100,-0.56,-1.7500,764224,111943445720
84,tgt,228.5700,228.7200,231.2500,228.3400,-0.08,-0.1800,1998391,111624292202
85,cvs,84.6200,84.2800,85.3200,84.0300,-0.11,-0.0900,3283034,111213759424
86,bud,55.2000,54.3700,55.2000,54.3250,-1.06,-0.5800,3449466,107638113004
87,sq,238.4900,232.3300,240.7200,232.0000,-2.58,-6.1600,7632272,107288974071
88,vxf,184.7000,183.7100,186.3551,183.5800,-0.59,-1.0900,159506,105652342245
89,cat,196.3400,192.8900,197.1707,192.6800,-1.16,-2.2700,2014884,105601771269
90,abnb,170.0000,166.6700,171.5402,166.6300,-1.94,-3.3000,2045424,104775895976
91,spgi,427.7900,428.4900,434.4700,426.1800,-0.29,-1.2300,648042,103266090000
92,de,343.0200,332.5900,344.0400,332.4700,-3.08,-10.5800,1052043,103123346968
93,mmm,178.0200,176.2800,178.6000,176.2000,-0.38,-0.6700,2690769,102002351238
94,bkng,2480.4900,2467.4100,2507.9100,2463.1900,-0.28,-6.9600,148033,101311467216
95,cop,75.1300,73.9700,75.5201,73.7450,-1.27,-0.9500,9585222,99051901679
96,lmt,354.9000,357.0800,359.3300,354.1200,0.94,3.3300,996832,98881340606
97,ptr,54.1000,53.4900,54.5000,53.4100,0.02,0.0100,240901,97897921025
98,syk,262.6100,258.7400,263.0000,258.1700,-1.87,-4.9400,1042765,97569889417
99,bp,29.4000,29.1000,29.5500,29.0450,0.80,0.2300,11034940,97102902711
100,gsk,38.5400,38.2400,38.6300,38.2400,-1.21,-0.4700,3534392,96206944018
101,pld,128.0000,128.9400,129.1800,127.2750,0.32,0.4100,1449709,95319023940
102,zts,197.5600,197.6500,199.1000,196.0300,-0.12,-0.2300,901916,93675069746
103,snow,312.9900,309.7900,317.3000,309.1800,-1.19,-3.7300,1183658,93215811000
104,antm,387.0600,380.9100,388.4700,380.3000,-1.36,-5.2600,837075,92871754486
105,infy,22.0300,21.8200,22.0750,21.8100,-0.50,-0.1100,11872609,92554698197
106,usb,62.7800,61.8500,63.0000,61.8300,-0.77,-0.4800,3713128,91701819002
107,adi,168.1200,167.9000,171.5400,167.8000,-0.43,-0.7200,1964889,90231319828
108,bam,56.2400,56.2200,56.5790,56.0600,-0.14,-0.0800,930349,88165762024
109,uber,47.7000,46.2900,47.8700,46.2800,-3.10,-1.4800,16336728,87226416288
110,mo,46.7100,46.7100,47.1850,46.5000,-0.04,-0.0200,4367859,86136878989
111,adp,205.5600,203.7500,205.7600,203.6300,-1.17,-2.4100,816805,86129879506
112,eqnr,26.3700,26.4600,26.6450,26.2900,0.49,0.1300,3443749,85895648415
113,pnc,203.6900,201.0500,204.9300,200.9300,-0.84,-1.7100,1420026,85444889494
114,gild,68.2300,68.0800,68.4470,67.8500,0.04,0.0300,3315621,85359347015
115,gm,58.7900,58.0900,59.3450,57.7700,-0.82,-0.4800,17665711,84330636239
116,enb,41.7500,41.3400,41.7900,41.0400,-0.07,-0.0300,3618496,83744720009
117,mdlz,59.8500,59.4200,59.8500,59.3400,-0.20,-0.1200,5266318,83058312463
118,iefa,74.2300,73.8300,74.4550,73.8200,-0.32,-0.2400,7577660,82679549448
119,cni,117.1600,116.4000,118.2700,116.4000,-0.44,-0.5100,450647,82523492942
120,bx,115.8300,114.5400,117.2100,114.4600,-1.62,-1.8900,1401572,81933893618
121,dell,105.1200,105.2000,106.2700,104.6700,0.13,0.1400,1405119,80490219085
122,tfc,61.2600,60.2300,61.4000,60.2050,-0.99,-0.6000,2844404,80396844628
123,bti,34.8400,34.7700,35.0064,34.6800,-0.34,-0.1200,2993544,79784984568
124,mmc,156.6900,156.8200,157.9800,156.2100,0.10,0.1600,1730549,79449079126
125,cb,183.0900,182.7600,185.6289,182.5200,-0.01,-0.0200,1293839,78873901887
126,lrcx,548.1300,552.4400,561.4700,548.0100,0.41,2.2800,892138,77785059056
127,mu,69.9000,69.2200,70.3550,69.1800,-1.28,-0.9000,12700211,77431135144
128,duk,100.1800,99.7100,100.7300,99.3500,-0.82,-0.8200,1659562,76710651996
129,vwo,51.0400,50.6500,51.1800,50.6400,-0.28,-0.1400,8801252,76535200953
130,bns,63.1700,62.7400,63.6200,62.7200,-0.22,-0.1400,438349,76237258772
131,hca,240.0200,237.5200,241.8262,237.1700,-1.21,-2.9000,908915,76040104088
132,shw,289.0000,288.2900,292.4750,288.2700,-0.59,-1.7000,855165,75907463598
133,tjx,64.5700,63.0200,64.7600,62.9500,-2.66,-1.7200,8466231,75784020194
134,zm,252.1800,253.9700,258.4100,252.0000,-0.42,-1.0800,1722356,75461573270
135,mufg,5.9000,5.8600,5.9599,5.8600,0.00,0.0000,1031452,75206806752
136,noc,390.0400,393.1600,396.5800,387.8400,0.88,3.4400,789814,62948494935
137,wday,254.8500,253.6700,258.9300,252.5900,-0.87,-2.2300,899955,62910160000
138,snp,52.2500,51.6400,52.5200,51.6300,-0.79,-0.4100,147917,62521172998
139,vmw,147.0900,147.5900,150.3100,147.0100,-0.16,-0.2400,746050,61803595430
140,etn,153.4300,152.5600,154.7600,152.4300,-0.65,-1.0000,1179852,60838574456
141,adsk,276.6500,276.5400,280.3000,276.4100,-0.86,-2.4000,676596,60797440954
142,ecl,215.4500,212.1700,215.7400,212.1150,-1.34,-2.8900,846254,60699126103
143,f,15.2000,15.0900,15.3600,14.9700,-0.20,-0.0300,45302230,60280994675
144,stla,19.4600,19.2100,19.6100,19.1900,-0.41,-0.0800,2260520,60176725005
145,bsx,42.9800,42.1400,43.2350,42.0950,-2.36,-1.0200,3751869,60001150586
146,apd,267.7100,268.7300,272.1699,266.6200,1.24,3.3000,1070204,59487325081
147,atvi,77.7400,76.3200,77.7600,76.2600,-1.66,-1.2900,6326324,59354708522
148,regn,549.6500,546.2600,557.8700,545.6000,-0.68,-3.7600,537967,58425444786
149,nio,36.0900,35.6400,36.5200,35.5300,-0.53,-0.1900,25400149,58400906992
150,fdx,224.0300,219.8200,224.5800,219.3600,-1.62,-3.6200,2884700,58395195309
151,dcue,97.1700,96.8500,97.5000,96.6600,-0.33,-0.3200,186203,58358126600
152,d,72.5200,72.1200,72.7657,71.8500,-0.80,-0.5800,2762125,58308105806
153,ubs,16.8700,16.6600,16.9500,16.6600,-0.30,-0.0500,1589999,57919251995
154,ing,14.8200,14.6600,14.8700,14.6600,0.07,0.0100,1915144,57223335356
155,amx,17.2800,17.3100,17.4600,17.2027,0.06,0.0100,1321304,57207377006
156,twlo,317.8700,320.7200,327.2400,315.9501,0.04,0.1200,813032,56815466857
157,gd,202.5000,202.8800,205.8400,201.8901,0.38,0.7600,695313,56713362072
158,amov,17.2500,17.1600,17.4245,17.1500,-0.29,-0.0500,1538,56711646008
159,tri,113.7400,114.3700,115.0500,113.3117,0.41,0.4700,235362,56710487104
160,bidu,164.9000,162.1600,166.9200,162.1600,0.04,0.0700,3651749,56441249872
161,relx,29.1900,29.1400,29.3650,29.1300,-0.34,-0.1000,310754,56370645996
162,emr,92.6300,94.1800,95.7600,92.5900,-2.55,-2.4600,4300161,56300804000
163,puk,41.3200,40.7800,41.3700,40.7800,-1.45,-0.6000,132193,55998979002
164,met,65.2500,65.1200,66.1200,64.9900,0.20,0.1300,4637408,55801162660
165,crwd,243.2100,244.3600,248.7100,241.6500,-0.26,-0.6400,1113135,55761136893
166,coin,249.5700,256.5000,263.1900,248.4850,3.37,8.3600,4945002,54103273366
167,pgr,91.0700,91.2000,92.4300,91.0700,0.30,0.2700,1841889,53379354619
168,hum,412.4900,414.8700,416.8994,409.0700,0.51,2.1100,893627,53312729953
169,race,213.3600,215.1600,217.1600,212.5500,1.06,2.2600,408434,53251565972
170,psa,299.9800,302.1000,302.8350,298.2000,0.79,2.3800,339837,52936453116
171,eog,92.3000,90.1600,93.0700,90.0400,-0.41,-0.3700,4610908,52640831664
172,cm,117.9700,116.8800,118.1399,116.7900,-0.28,-0.3300,149779,52605579251
173,vig,157.0600,156.2100,158.0200,156.1800,-0.66,-1.0400,760637,52605054345
174,hmc,30.5500,30.4200,30.8900,30.4200,0.23,0.0700,871844,52595479001
175,mrvl,64.2550,63.4400,64.8700,63.3900,-1.83,-1.1800,4063147,52251177665
176,idxx,617.0000,612.7700,621.4300,612.1900,-0.69,-4.2500,171578,52131978851
177,fcx,35.3000,35.2300,36.5700,35.2100,3.22,1.1000,27084246,51719908213
178,docu,261.9800,261.5000,265.5000,259.0300,-0.58,-1.5300,949498,51441837280
179,epd,23.6900,23.5000,23.8300,23.4550,-0.04,-0.0100,5159085,51356469221
180,dxcm,524.4100,528.7800,537.2700,521.0784,-0.06,-0.3200,313240,51158883870
181,mar,157.4100,156.8200,159.7700,156.5700,-0.17,-0.2700,1677556,51069430688
182,cvna,289.8200,282.7400,290.1800,282.0700,0.11,0.3100,662944,50214621172
183,cmg,1816.6700,1783.8600,1817.8000,1776.0800,-1.86,-33.7500,239588,50117311230
184,lulu,399.4000,386.0400,399.4000,385.6100,-2.81,-11.1800,790587,50113219367
185,ftnt,305.1600,306.8000,309.1100,302.8528,-0.12,-0.3700,488513,50106637360
186,algn,638.0000,631.8500,644.2800,631.1400,-1.82,-11.7100,251333,50002444913
187,kdp,35.1000,35.1300,35.2850,34.8850,0.26,0.0900,5549682,49802078716
188,twtr,62.9900,62.1000,63.5100,62.0700,-2.48,-1.5800,9020360,49553724431
189,aig,57.7500,57.8900,58.8599,57.5800,0.49,0.2800,3104610,49507669077
190,klac,324.5700,325.2000,331.2100,324.5350,-0.26,-0.8500,528493,49428026365
191,nxpi,189.3400,185.9400,191.1600,185.7350,-2.30,-4.3700,2143287,49299179959
192,msci,596.0700,597.2100,612.9100,593.7200,-0.48,-2.9100,218621,49235361205
193,lfc,8.8200,8.7000,8.8570,8.7000,-0.23,-0.0200,1127654,49180586995
194,e,27.6100,27.6100,27.8400,27.4600,0.55,0.1500,700125,49167888386
195,jci,68.7400,68.7900,69.6443,68.7200,-0.32,-0.2200,2283633,48993905744
196,dg,209.6800,209.7900,211.3200,209.6800,-0.29,-0.6100,1208669,48946150634
197,iwd,160.5900,159.2600,161.3900,159.2500,-0.81,-1.3000,2231268,48944669959
198,trp,50.2300,49.9000,50.3650,49.8700,0.18,0.0900,742230,48852103143
199,panw,492.1100,499.8100,501.6055,488.1000,1.42,7.0200,728720,48684549338
200,bsbr,6.6800,6.4900,6.7150,6.4900,-2.99,-0.2000,1011933,48449925119
201,ebay,74.6900,74.5000,74.9000,74.2000,-0.73,-0.5500,2817419,48429157472
202,wit,8.8800,8.8300,8.9200,8.8250,0.11,0.0100,2198449,48230837003
203,bk,55.8900,55.5200,56.6500,55.4800,-0.57,-0.3200,4945129,47923402991
204,tel,146.0000,145.6300,148.0200,145.4300,-0.03,-0.0400,1468899,47766191168
205,rop,451.2500,452.2400,454.9600,451.2500,0.14,0.6500,205183,47676879210
206,smfg,7.0200,6.9400,7.0700,6.9400,-0.14,-0.0100,702865,47556210686
207,cnq,40.6600,40.2100,41.4950,40.2000,1.13,0.4500,2745678,47475262987
208,lhx,233.6000,235.3700,236.7400,232.9300,0.94,2.2000,951875,47296113020
209,info,118.5700,118.3000,120.1200,118.1200,-0.71,-0.8400,598650,47182935017
210,pxd,195.6100,193.0600,196.6400,192.9900,-0.01,-0.0200,3030518,47098733227
211,vrtx,179.2300,179.5800,181.0150,178.2100,0.36,0.6400,1532879,46588150994
212,mnst,89.0200,88.0500,89.2500,87.9300,-1.37,-1.2200,1117682,46568396010
213,exc,48.4100,47.5700,48.4100,47.5000,-1.61,-0.7800,3130482,46515500016
214,cpng,28.1500,26.7600,28.1500,26.7200,-4.77,-1.3400,5707833,46444260995
215,net,135.3250,144.2700,145.7000,134.9300,3.30,4.6100,5379666,46164784031
216,iqv,241.1700,240.2800,244.7750,240.0900,-0.81,-1.9500,306104,46040612334
217,veu,61.4400,61.0800,61.6150,61.0700,-0.31,-0.1900,2456198,45971863160
218,pltr,23.2600,23.5300,23.9800,23.2600,0.13,0.0300,23971657,45956915200
219,bce,50.6900,50.6100,50.9800,50.6000,-0.14,-0.0700,454996,45839650800
220,cp,69.3300,68.6300,69.5000,68.2700,-0.84,-0.5800,2358452,45771213598
221,scco,60.2100,58.9800,60.7900,58.9400,0.65,0.3800,1254657,45596333245
222,a,151.4900,150.0200,152.3600,149.8800,-1.61,-2.4500,1101271,45414454953
223,bcs,10.9200,10.7800,11.0000,10.7800,-0.19,-0.0200,2020049,45402124285
224,slb,32.2900,32.4600,33.2400,32.0500,2.53,0.8000,16941807,45393134985
225,lyg,2.5600,2.5500,2.5900,2.5400,1.19,0.0300,4687741,45259719400
226,khc,36.9000,36.7800,37.4250,36.7600,0.00,0.0000,4466525,44996179009
227,tak,14.3300,14.2200,14.3500,14.2100,-0.21,-0.0300,2700761,44956102660
228,aph,75.4800,75.0700,75.9600,75.0500,-0.88,-0.6700,1375388,44905765591
229,bbva,6.8200,6.7300,6.8400,6.7300,-1.32,-0.0900,912778,44874876999
230,kmb,132.9900,132.5500,133.1100,132.3700,-0.24,-0.3200,845474,44637814631
231,gpn,159.4100,151.4600,159.4900,150.8700,-4.98,-7.9300,1987005,44491086014
232,carr,51.3600,51.2500,51.9500,51.1013,-0.49,-0.2500,2566863,44469696545
233,spot,233.8700,231.8900,236.5800,230.4400,-0.43,-0.9900,647437,44373545622
234,trow,195.6500,194.8700,198.4800,194.8400,-0.25,-0.4900,1165578,44223190974
235,snps,290.6300,288.7400,293.7578,288.5300,-1.00,-2.9200,306578,44033645189
236,veev,285.9000,284.2000,287.5000,283.2300,-0.80,-2.3000,560832,43601306929
237,spg,131.7600,132.6200,133.6800,131.0200,0.41,0.5400,1081560,43581473397
238,ngg,60.4200,60.2100,60.5400,60.1500,-0.36,-0.2200,201485,43555626015
239,dow,59.2500,58.2300,59.7800,58.2100,-0.82,-0.4800,4138836,43426291215
240,aptv,165.0000,160.1500,166.9000,160.0800,-3.01,-4.9700,2514709,43321787976
241,nem,54.6500,54.2000,55.1700,54.0100,-0.20,-0.1100,4161347,43312635975
242,biib,284.6500,285.5900,288.7700,283.4500,-0.08,-0.2400,577025,42562460986
243,pru,110.0300,110.0800,111.9100,109.8100,0.33,0.3600,1742902,42490880000
244,abev,2.7400,2.7000,2.7600,2.7000,-1.46,-0.0400,10605647,42490335059
245,syy,83.1500,82.8600,83.7500,82.2700,-0.59,-0.4900,1463175,42447144864
246,itub,4.4400,4.3400,4.4700,4.3300,-2.25,-0.1000,22886772,42444710235
247,payx,118.5600,117.3400,118.5600,117.3200,-1.12,-1.3300,1059361,42311717079
248,vod,15.3900,15.2600,15.4800,15.2600,-1.10,-0.1700,3439977,41966746003
249,orly,609.9600,605.2200,613.0650,604.9750,-0.82,-5.0300,268372,41730971477
250,ctas,402.9700,402.3700,408.1200,402.3200,-0.11,-0.4300,264722,41608126071
251,cdns,149.5800,149.5200,151.7000,148.9600,-0.40,-0.6000,689990,41384145600
252,stz,220.6800,219.7000,222.3400,219.3000,0.02,0.0400,1125696,41325585379
253,aep,0.0000,82.5100,0.0000,0.0000,0.00,0.0000,0,41275737980
254,mpc,66.0000,64.5600,66.1400,64.4910,-0.92,-0.6000,4831553,41202332611
255,wba,47.4000,47.4200,48.2500,47.3800,0.08,0.0400,3278632,41017698050
256,ntr,70.9800,71.3600,72.1600,70.8500,1.67,1.1700,2277460,40724357977
257,didi,8.3800,8.3800,8.8491,8.2600,2.57,0.2100,29426570,40418763568
258,tt,171.3300,170.0000,171.9750,169.8000,-1.17,-2.0200,1159806,40393480020
259,rblx,70.6300,70.2200,71.8500,69.7700,-0.31,-0.2200,5036605,40387189309
260,kmi,17.7600,17.7400,18.0000,17.6300,1.55,0.2700,17229411,40208078938
261,rsg,125.5200,126.1400,127.1400,125.0200,0.40,0.5000,1041699,40158543061
262,msi,236.4000,235.6600,237.5500,235.4100,-0.46,-1.1000,347991,39903035236
263,phg,44.0900,43.6300,44.1900,43.4900,1.23,0.5300,874673,39822585859
264,hlt,141.4300,142.8500,143.8099,141.1900,0.95,1.3400,1494854,39810295957
265,ctsh,75.1600,75.3900,76.4200,75.1500,-0.13,-0.1000,1893397,39805919246
266,ea,139.9200,139.4700,140.6100,137.5100,-0.37,-0.5200,1907550,39690625040
267,eric,11.8300,11.9000,11.9600,11.8200,1.97,0.2300,8929167,39674601475
268,dlr,140.2700,139.7300,140.7500,139.4530,-0.66,-0.9300,1065672,39644764021
269,iau,33.3900,33.3600,33.5000,33.3600,-0.18,-0.0600,6989627,39495472020
270,bax,79.9200,78.9200,80.0950,78.8400,-1.60,-1.2800,2010430,39452917324
271,mchp,145.6600,143.9100,147.7700,143.8100,-1.53,-2.2300,1446525,39437121008
272,sre,124.5700,123.1300,124.8750,123.0910,-1.20,-1.4900,949286,39318897396
273,sivb,678.0000,666.5100,692.2100,666.4700,-0.59,-3.9800,367184,39099812051
274,trv,157.3000,156.2300,158.7400,156.1800,-0.70,-1.1000,796907,38978275767
275,alc,78.3200,78.5900,79.4200,78.2000,0.11,0.0900,512072,38509100000
276,xlnx,155.0000,155.2000,159.1800,153.8349,-0.68,-1.0700,768771,38407059984
277,mfc,19.9700,19.7400,20.1617,19.7300,-0.25,-0.0500,3082447,38341979682
278,u,134.5500,135.7000,138.5500,133.2800,-0.38,-0.5200,1296250,38337774020
279,kkr,66.0300,65.4300,67.3300,65.2580,-0.12,-0.0800,2872081,38147717021
280,all,127.4500,127.9600,130.0600,127.4500,0.85,1.0800,1264938,37835392967
281,dfs,128.5300,125.7200,130.5900,125.5100,-2.05,-2.6300,1407390,37649172276
282,rost,107.6800,105.5400,108.4100,105.4950,-2.16,-2.3300,1436938,37505324051
283,gis,61.4900,61.6900,62.1000,61.3300,0.37,0.2300,2879767,37365166993
284,zs,263.6000,267.7000,271.1700,262.0200,0.39,1.0400,1223729,37139622113
285,stm,41.1100,40.8400,41.5900,40.8200,-1.35,-0.5600,1381666,37095505778
286,lcid,23.6300,22.8700,23.6400,22.6800,-1.55,-0.3600,21974447,37017874482
287,ph,291.4900,287.4300,292.8350,287.1500,-1.21,-3.5200,584134,36951153456
288,cnc,64.1400,63.1000,64.4900,63.0100,-1.91,-1.2300,2248154,36790049014
289,hsy,177.6800,178.2100,178.9600,177.2200,0.26,0.4600,849355,36718307136
290,afrm,141.9000,135.0300,145.9900,133.6200,-4.36,-6.1600,31053071,36711257484
291,rmd,253.3700,251.6200,255.4800,251.4300,-0.90,-2.2800,609394,36663856421
292,afl,54.7100,54.4800,55.3969,54.4100,-0.07,-0.0400,2564295,36541988693
293,dd,70.7800,69.7600,71.5300,69.7000,-0.94,-0.6600,3279621,36488434973
294,sbac,329.9100,329.8200,332.9800,328.2000,-0.01,-0.0400,308284,36132919538
295,yum,123.3500,122.0000,123.9000,121.9100,-1.13,-1.3900,1010571,36068880076
296,bbd,3.8100,3.7200,3.8300,3.7150,-2.36,-0.0900,21751633,36053699000
297,ppg,151.7100,151.8600,153.7300,151.2300,0.74,1.1200,1272352,36044970238
298,hood,41.1723,42.0700,42.4680,41.0100,0.69,0.2900,3733170,35988501650
299,psx,82.9600,82.0400,84.5100,82.0100,-0.11,-0.0900,2671396,35932651032
300,crh,46.2900,46.1200,46.6400,46.0700,-1.50,-0.7000,486309,35816728538
301,adm,63.5500,63.9700,64.4512,63.2495,1.07,0.6800,1955293,35782673597
302,lqd,131.5800,131.5600,131.8400,131.5400,-0.19,-0.2500,4336967,35722494693
303,frc,205.0000,201.9300,207.6650,201.9100,-1.03,-2.1000,569572,35693146194
304,iff,138.8100,140.0000,140.7400,138.1100,1.42,1.9600,1095685,35633464020
305,nwg,6.3500,6.2300,6.3973,6.2200,0.97,0.0600,868630,35623825405
306,mfg,2.8400,2.8100,2.8500,2.7950,0.00,0.0000,213347,35621415999
307,azo,1680.1900,1674.0800,1697.4700,1674.0300,-0.43,-7.2900,109633,35386703040
308,tdg,643.5800,637.1400,648.4400,636.5500,-1.07,-6.9200,106221,35114334924
309,well,82.2200,82.8400,83.3600,81.7100,0.18,0.1500,761014,35005105499
310,otis,83.2300,81.6200,83.5000,81.5600,-2.19,-1.8300,2134171,34833674963
311,wmb,28.8000,28.6300,29.0200,28.5400,1.09,0.3100,13623422,34784271274
312,su,23.8000,23.4200,23.9779,23.3623,1.39,0.3200,5536589,34767087872
